title;authors;abstract;publication_date;journal_name;doi;pdf_url
Fire weather severity in southern Africa is increasing faster and more extensively in the late than in the early dry season;['Sílvia Catarino', 'João M. N. Silva', 'Alana K. Neves', 'Duarte Oom', 'José M. C. Pereira'];Background In African savannas, the most intense fires occur during the late dry season, when fuel availability is high and atmospheric relative humidity low. The Fire Weather Index (FWI) system has been used to measure the effort required for fire suppression and explore the impact of climate on fires.Aims This study assesses trends in FWI system indices from 1979 to 2022 and their influence on burned area (BA).Methods We employed the Theil–Sen slope estimator and contextual Mann–Kendall test to evaluate the presence of significant trends in FWI system indices during the early dry season (EDS) and late dry season (LDS), and assessed how trends in BA depend on fire weather.Key results We found distinct patterns in fire weather trends between the EDS and LDS, the LDS showing more widespread areas of increasing trends. However, only 28% of the regression analyses showed significant relationships with BA, suggesting a moderate influence of the FWI system on BA interannual variance.Conclusions Fire weather severity is increasing faster and more extensively during the LDS than the EDS. Additional factors play a significant role in shaping BA trends. Proactively managing anthropogenic fires during the moister EDS can help mitigate fire intensity, reduce emissions and support biodiversity conservation efforts.;2025/03/13;International Journal of Wildland Fire;10.1071/WF24002;https://www.publish.csiro.au/wf/pdf/WF24002
Burning from the ground up: the structure and impact of Prescribed Burn Associations in the United States;['Alison Deak', 'Jennifer E. Fawcett', 'Lenya Quinn-Davidson', 'Christopher Adlam', 'John R. Weir', 'Jeffery Stackhouse'];Background To combat losses and threats from fire exclusion and extreme wildfire events, communities in the United States are increasingly self-organizing through locally led Prescribed Burn Associations (PBAs) to plan and implement prescribed burns on private lands.Aim Our study aimed to document the expansion of PBAs and provide insight into their structure, function, and impacts.Methods Leaders from 135 known PBAs across the United States were invited to participate in an online survey.Key results Survey results demonstrate a widespread emergence of PBAs in the United States, successfully mobilizing thousands of volunteers to collectively burn more than 34,000ha annually.Conclusions PBAs demonstrated that they are reducing myriad barriers to prescribed burning while meeting their goals to broaden access to the use of fire using a neighbors-helping-neighbors model to provide training, pool resources, and reduce the costs of prescribed burning. By including volunteers with diverse levels of experience and backgrounds, PBAs are changing the narrative of who has access to the use of fire.Implications The adaptability of the PBA model to local contexts provides an alternative model of community-led, non-agency-based fire management critical to advancing the pace and scale of restoration needed in fire-adapted ecosystems.;2025/03/11;International Journal of Wildland Fire;10.1071/WF24178;https://www.publish.csiro.au/wf/pdf/WF24178
A bottom–up savanna fire fuel consumption inventory and its application to savanna burning in Kafue National Park, Zambia;['Tom Eames', 'Adrian Kaluka', 'Roland Vernooij', 'Cameron Yates', 'Jeremy Russell-Smith', 'Guido R. van der Werf'];Background Tropical savannas are the most extensively and frequently burned biome worldwide. To establish accurate emissions inventories for burning in tropical savannas, detailed biomass information is required. Available pan-tropical or global biomass maps currently focus on standing vegetation and largely ignore surface layers, a key component of fuel consumption in the tropics.Aims In this paper, we propose a methodology for building a high-resolution regional bottom–up fuel inventory, and examine the effectiveness thereof in a local scale case study in Kafue National Park, Zambia.Methods We scaled up fuel measurements using drone-mounted cameras and Sentinel-2 imagery. We examined inter-annual fire variability’s effects on emissions.Key results The fuel model performs well for surface level fuel, with an error margin of ~±27%. Accuracy is reduced when mapping more stochastic fuel layers such as coarse woody debris, or fuel layers with a structural component.Conclusions Current pyrogenic emissions models underestimate emissions from Kafue National Park.Implications Timing of burning is an important factor for total burned area as well as for emissions.;2025/02/28;International Journal of Wildland Fire;10.1071/WF24121;https://www.publish.csiro.au/wf/pdf/WF24121
Experimental investigation of fire behaviours and heat transfer in single cypress tree crown fires;['Hanwen Guo', 'Yunji Gao', 'Ziqun Ye', 'Zhengyuan Yang', 'Yuchun Zhang', 'Zijian Lei', 'Ao Sun'];Background Crown fires are among the most perilous and challenging types of forest fires to combat, posing a significant hazard to forest ecosystems and the wildland–urban interface.Methods Crown fire experiments were carried out using cypress trees with five different crown heights from 0.4 to 1.2m to investigate the fire behaviours and heat transfer mechanisms.Key results and conclusions The characteristic values of flame height, mass loss rate and heat flux increased with crown height, whereas flame width increased with crown width. Empirical correlations of mass loss rates were established. Flame temperature varied with flame height and relationships between these were developed based on four dimensionless temperature zones. Flame emissivity was related to crown height and increased exponentially with the heat release rate. This study proposes a modified model to predict the radiation heat flux from crown fires, taking the variations of flame temperature and flame emissivity into account.Implications The findings of this work enhance understanding of fire behaviours and controlling mechanisms of crown fire under different crown heights, and also improve the accuracy of prediction of wildland fire development and spread in the wildland–urban interface.;2025/02/25;International Journal of Wildland Fire;10.1071/WF24030;https://www.publish.csiro.au/wf/pdf/WF24030
Pattern recognition and modelling of virulent wildfires in Spain;['María Bugallo', 'María Dolores Esteban', 'Manuel Francisco Marey-Pérez', 'Domingo Morales'];Background Driven by global warming and land use, fire dynamics are changing worldwide, increasing fire activity and its impacts on ecosystems, livelihoods and human settlements. In southern European countries, large forest fires are increasing annually and a high spatio-temporal concentration has been shown to overwhelm fire suppression systems.Aims Propose sound statistical criteria for grouping fire ignitions based on auxiliary information.Methods Our methodology combines pattern recognition and complex statistical modelling that, by capturing underlying dependencies and adapting to the nature of the data, provides a reliable statistical basis for formulating firefighting strategies.Key results Weekly and provincial data from 2007 to 2015 are used to illustrate the performance of the procedures.Conclusions Research indicates that weather conditions, the simultaneous occurrence of events and the proximity of urban areas contribute to making the Spanish landscape highly susceptible to wildfires in summer.Implications Risk mapping is key to fire management and efficient resource allocation.;2025/02/24;International Journal of Wildland Fire;10.1071/WF23162;https://www.publish.csiro.au/wf/pdf/WF23162
Burning from the ground up: the structure and impact of Prescribed Burn Associations in the United States;['Alison Deak', 'Jennifer E. Fawcett', 'Lenya Quinn-Davidson', 'Christopher Adlam', 'John R. Weir', 'Jeffery Stackhouse'];Background To combat losses and threats from fire exclusion and extreme wildfire events, communities in the United States are increasingly self-organizing through locally led Prescribed Burn Associations (PBAs) to plan and implement prescribed burns on private lands.Aim Our study aimed to document the expansion of PBAs and provide insight into their structure, function, and impacts.Methods Leaders from 135 known PBAs across the United States were invited to participate in an online survey.Key results Survey results demonstrate a widespread emergence of PBAs in the United States, successfully mobilizing thousands of volunteers to collectively burn more than 34,000ha annually.Conclusions PBAs demonstrated that they are reducing myriad barriers to prescribed burning while meeting their goals to broaden access to the use of fire using a neighbors-helping-neighbors model to provide training, pool resources, and reduce the costs of prescribed burning. By including volunteers with diverse levels of experience and backgrounds, PBAs are changing the narrative of who has access to the use of fire.Implications The adaptability of the PBA model to local contexts provides an alternative model of community-led, non-agency-based fire management critical to advancing the pace and scale of restoration needed in fire-adapted ecosystems.;2025/03/11;International Journal of Wildland Fire;10.1071/WF24178;https://www.publish.csiro.au/wf/pdf/WF24178
The impacts of fire use in the Brazilian Amazon: a bibliometric analysis;['Amanda Kesley Cardozo Cancio', 'Mayerly Alexandra Guerrero-Moreno', 'Everton Cruz da Silva', 'Fernando Abreu Oliveira', 'Karina Dias-Silva', 'James Ferreira Moura Jr', 'Thiago Almeida Vieira', 'Lenize Batista Calvão', 'Leandro Juen', 'José Max Barbosa Oliveira-Junior'];The use of fire, essential in human evolution, has facilitated low-cost land management in the Amazon, albeit with significant environmental losses. Its uncontrolled use, exacerbated by climate change, intensifies environmental and socioeconomic challenges. This study explores the impacts of fire use in the Brazilian Amazon via bibliometric analysis, revealing trends, gaps and key areas of scientific relevance based on 192 articles indexed in Scopus and Web of Science. Brazil has the highest scientific production (58%) and is a leader in scientific collaboration networks in this area. Topics such as ‘deforestation’ and ‘fire’ were central themes. Approximately 67% of studies focused on wildfires. The geographical distribution indicates that most studies (57%) are conducted on a regional scale, encompassing the entire Legal Amazon, and 15% focus on the state of Pará. The most common impacts associated with fire use in the Brazilian Amazon are ecological (35%). This study highlights the importance and complexity of the effects of fire use on the Amazon, underscoring the urgent need for policies that integrate sustainable management practices and fire governance. Promoting interdisciplinary research and collaboration among various societal sectors is essential to developing practical solutions protecting Amazonian biodiversity and communities.;2025/03/27;International Journal of Wildland Fire;10.1071/WF24182;https://www.publish.csiro.au/wf/pdf/WF24182
Factors enabling fire management outcomes in Indigenous Savanna fire management projects in Western Australia;['Tom Vigilante', 'Catherine Goonack', 'Desmond Williams', 'Aidan Joseph', 'Leigh-Ann Woolley', 'Rohan Fisher'];Background Balanggarra, Dambimangari, Wilinggin and Wunambal Gaambera Traditional Owners in Western Australia operate Savanna Fire Management projects under the collective North Kimberley Fire Abatement Project.Aims We examine changes to the fire regime before and after the initiation of these projects and discuss implications for incentivising savanna fire management.Methods Using established methods and high-resolution imagery, we compared fire metrics between baseline (2001–2011) and project years (2012–2022).Key results Fire seasonality notably shifted from late to early dry season dominance with fewer late season fires across, resulting in carbon abatement. While total area burnt remained similar, annual fire pattern transitioned from a cyclical to less variable regime. Fire patchiness, fire age diversity, and area of long unburnt vegetation increased while fire frequency decreased. A minimum of 4years of fire management was required before significant changes in fire metrics were observed.Conclusions The fire regime on Traditional Owner lands has improved significantly, enabled by the emergence of land and sea management, carbon markets, support of partner agencies, and the securing of land rights.Implications Beyond carbon credits, access to technology holds promise for sustained improvements to adaptive fire management built on strong foundations of traditional burning practices.;2024/08/30;International Journal of Wildland Fire;10.1071/WF24092;https://www.publish.csiro.au/wf/pdf/WF24092
Remote sensing applications for prescribed burn research;['Anna LoPresti', 'Meghan T. Hayden', 'Katherine Siegel', 'Benjamin Poulter', 'E. Natasha Stavros', 'Laura E. Dee'];Prescribed burning is a key management strategy within fire-adapted systems, and improved monitoring approaches are needed to evaluate its effectiveness in achieving social-ecological outcomes. Remote sensing provides opportunities to analyse the impacts of prescribed burning, yet a comprehensive understanding of the applications of remote sensing for prescribed burn research is lacking. We conduct a literature review of 120 peer-reviewed publications to synthesise the research aims, methodologies, limitations and future directions of remote sensing for the analysis of prescribed fire. Studies evaluating management outcomes found prescribed burning effective for wildfire risk reduction, yet few analysed co-benefits or trade-offs with other management goals. Most studies use passive, spaceborne, low spatial resolution sensors, characterised in the literature as consistent and accessible data sources but limited in detecting small, low-severity and short-duration fires characteristic of prescribed burns. In contrast, active remote sensing approaches including LiDAR are less frequently employed, but show promise for highly accurate, spatially explicit 3D vegetation and fuel load mapping. Remote sensing advances toward higher spatial resolution, more frequent revisit, denser spectral sampling and more data across the electromagnetic spectrum are critical to advancing prescribed fire research, addressing current methodological gaps, and improving fuels and fire management capacity.;2024/05/24;International Journal of Wildland Fire;10.1071/WF23130;https://www.publish.csiro.au/wf/pdf/WF23130
Future fire events are likely to be worse than climate projections indicate – these are some of the reasons why;['Mika Peace', 'Lachlan McCaw'];Background Climate projections signal longer fire seasons and an increase in the number of dangerous fire weather days for much of the world including Australia.Aims Here we argue that heatwaves, dynamic fire–atmosphere interactions and increased fuel availability caused by drought will amplify potential fire behaviour well beyond projections based on calculations of afternoon forest fire danger derived from climate models.Methods We review meteorological dynamics contributing to enhanced fire behaviour during heatwaves, drawing on examples of dynamical processes driving fire behaviour during the Australian Black Summer bushfires of 2019–20.Results Key dynamical processes identified include: nocturnal low-level jets, deep, unstable planetary boundary layers and fire–atmosphere coupling.Conclusions The future scenario we contend is long windows of multi-day fire events where overnight suppression is less effective and fire perimeters will expand continuously and aggressively over multiple days and nights.Implications Greater overnight fire activity and multi-day events present strategic and tactical challenges for fire management agencies including having to expand resourcing for overnight work, manage personnel fatigue and revise training to identify conditions conducive to unusually active fire behaviour overnight. Effective messaging will be critical to minimise accidental fire ignition during heatwaves and to alert the community to the changing fire environment;2024/06/19;International Journal of Wildland Fire;10.1071/WF23138;https://www.publish.csiro.au/wf/pdf/WF23138
Numerical investigation of the effect of wind, slope and fuel moisture on the radiative and convective heating of excelsior fuels;['M. S. Sadeghi', 'Maryam Ghodrat', 'Duncan Sutherland', 'Albert Simeoni', 'Jason Sharples', 'Harald Kleine'];Background Wind, slope angle and moisture content are the three major parameters that affect fire rate of spread and heat transfer in propagating bushfires.Aims This study investigates the effect of the slope angle (0°–40°), wind speed (0–3ms−1) and fuel moisture content (FMC, 4–12%) on convective heat transfer (cooling and heating) and radiative heat transfer of burning excelsior fuel particles at different locations downstream of a spreading fire.Methods The simulations were conducted using Fire Dynamics Simulator (FDS). The zone located downstream of the fire front was divided into two regions: the flame-induced region and the natural convection region.Key results For uplifted flames, there is convective cooling of particles downstream of the flame region. However, when the flame attaches to the unburnt fuel, flame depth and fire line intensity both increase, and there is convective heating of the particles ahead of the flames. Radiative heating of the particles also decreases consistently as the distance from the flame increases.Implications The results of this analysis reveal the mechanism of local convective and radiative heat transfer to downstream vegetation. Although heat transfer mechanisms are identified from this numerical analysis, these need to be verified through experimental work.;2025/03/24;International Journal of Wildland Fire;10.1071/WF24115;https://www.publish.csiro.au/wf/pdf/WF24115
Experimental investigation of fire behaviours and heat transfer in single cypress tree crown fires;['Hanwen Guo', 'Yunji Gao', 'Ziqun Ye', 'Zhengyuan Yang', 'Yuchun Zhang', 'Zijian Lei', 'Ao Sun'];Background Crown fires are among the most perilous and challenging types of forest fires to combat, posing a significant hazard to forest ecosystems and the wildland–urban interface.Methods Crown fire experiments were carried out using cypress trees with five different crown heights from 0.4 to 1.2m to investigate the fire behaviours and heat transfer mechanisms.Key results and conclusions The characteristic values of flame height, mass loss rate and heat flux increased with crown height, whereas flame width increased with crown width. Empirical correlations of mass loss rates were established. Flame temperature varied with flame height and relationships between these were developed based on four dimensionless temperature zones. Flame emissivity was related to crown height and increased exponentially with the heat release rate. This study proposes a modified model to predict the radiation heat flux from crown fires, taking the variations of flame temperature and flame emissivity into account.Implications The findings of this work enhance understanding of fire behaviours and controlling mechanisms of crown fire under different crown heights, and also improve the accuracy of prediction of wildland fire development and spread in the wildland–urban interface.;2025/02/25;International Journal of Wildland Fire;10.1071/WF24030;https://www.publish.csiro.au/wf/pdf/WF24030
Comparing modeled soil temperature and moisture dynamics during prescribed fires, slash-pile burns and wildfires;['Peter R. Robichaud', 'William J. Massman', 'Anthony Bova', 'Antonio Girona-García', 'Andoni Alfaro-Leranoz', 'Nancy E. Gibson'];Background Wildfires, prescribed fires and slash-pile burns are disturbances that occur in many terrestrial ecosystems. Such fires produce variable surface heat fluxes causing a spectrum of effects on soil, such as seed mortality, nutrient loss, changes in microbial activity and water repellency. Accurately modeling soil heating is vital to predicting these second-order fire effects. The process-based Massman HMV (Heat–Moisture–Vapor) model incorporates soil water evaporation, heat transport and water vapor movement, and captures the observed rapid evaporation of soil moisture.Aims Improve the Massman HMV model and compare it with Campbell soil heating model using four independent soil temperature datasets collected during burning.Methods The models were evaluated using similar BFD curves against observed temperature and soil moisture using standard statistical methods.Key results Results suggest reasonable agreement between the Massman HMV model and field soil temperature data under various burn scenarios and it was consistently more accurate than the Campbell model.Conclusions The Massman HMV model improved soil heating predictions and provided soil moisture predictions.Implications The Massman HMV model was incorporated in the First Order Fire Effects Model (FOFEM ver. 6.7) with a user-friendly interface that allows managers to assess the heating impacts of fire on soil temperature and moisture.;2025/03/27;International Journal of Wildland Fire;10.1071/WF22082;https://www.publish.csiro.au/wf/pdf/WF22082
